threshold,precision,recall,f1
0.2,0.4079601990049751,0.9525523560209425,0.5712603640288476
0.25,0.43085507464937417,0.9348821989528796,0.5898627025911015
0.3,0.45186322851830896,0.9145942408376964,0.6048801601471623
0.35,0.4752120311270438,0.8892342931937173,0.6194085133056014
0.4,0.4999521942824362,0.8555301047120419,0.6311025285136684
0.45,0.5288532545627176,0.8201897905759162,0.6430633057533193
0.5,0.5584309133489461,0.7802683246073299,0.650969150969151
0.55,0.5877227722772277,0.7284031413612565,0.6505443121209907
0.6,0.625057365764112,0.668520942408377,0.6460589769942288
0.65,0.6625700343394181,0.599803664921466,0.6296264491197939
0.7,0.7007141311404458,0.5297774869109948,0.6033727755520357
0.75,0.7418043890544568,0.4479712041884817,0.5586045088238294
0.8,0.7875702247191011,0.3669829842931937,0.5006696428571429
